,CicloLectivoDesCorta,IdAlumno,Anio,Genero,FechaNacimiento,Distrito,Provincia,Departamento,FamiliarResponsable,AnioNacimiento,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,ProgramaAlu,Colegio,TipoColegio,CantArmadas,CantArmadasRetraso7dias,ExcedePagosAtrasados,Desercion,Edad,GrupoEdad
37,2023-2,100046948,2023,F,2007-02-16,ATE,LIMA,LIMA,Apoderado,2007.0,0,2,NO,NO,Psicología,Colegio Fuera De Cartera,PRIV,5.0,0.0,0.0,1,16.0,MenosDe18
38,2023-2,100048427,2023,F,2002-07-29,SANTA ANITA,LIMA ,LIMA,Alumno,2002.0,2,6,SI,SI,Ingeniería Agroforestal,Saco Oliveros - Sta. Anita,PRIV,3.0,3.0,1.0,0,21.0,Entre18y25
39,2023-2,100049023,2023,F,2007-10-08,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2007.0,10,10,SI,SI,Arquitectura y Urb Ambiental,SAN SILVESTRE- SJM,PRIV,1.0,0.0,0.0,1,16.0,MenosDe18
40,2023-2,100049065,2023,F,2007-12-11,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2007.0,1,1,NO,SI,Medic Veterinaria y Zootecnia,Pio Xii,PRIV,2.0,1.0,1.0,1,16.0,MenosDe18
41,2023-2,100049302,2023,F,1998-09-15,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,1998.0,3,3,SI,NO,Estomatología,LA MERCED - VES,PRIV,5.0,4.0,1.0,0,25.0,Mayor25
42,2023-2,100049521,2023,F,2007-08-18,ATE,LIMA,LIMA,Apoderado,2007.0,12,6,SI,NO,Medicina Humana,Pamer Santa Beatriz,PRIV,3.0,1.0,0.0,0,16.0,MenosDe18
43,2023-2,100052309,2023,F,2007-11-03,ATE,LIMA,LIMA,Apoderado,2007.0,9,9,SI,NO,Medicina Humana,TTE CRL ALFREDO BONIFAZ - RIMA,PRIV,5.0,5.0,1.0,0,16.0,MenosDe18
44,2023-2,100052672,2023,F,2006-11-05,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,3,3,NO,SI,Medic Veterinaria y Zootecnia,Taller de Deportes,PRIV,5.0,0.0,0.0,1,17.0,MenosDe18
45,2023-2,100052849,2023,F,2001-09-05,LURIN,LIMA ,LIMA,Alumno,2001.0,6,9,SI,NO,Ingeniería Ambiental,JOSE MARIA ARGUEDAS - LURIN,PRIV,5.0,1.0,0.0,1,22.0,Entre18y25
46,2023-2,100054023,2023,F,2007-02-09,ATE,LIMA,LIMA,Apoderado,2007.0,3,3,SI,NO,Ing. Económica y de Negocios,SAN PEDRO SANTISIMA TRINIDA DE,PRIV,5.0,1.0,0.0,0,16.0,MenosDe18
47,2023-2,100054706,2023,M,2002-04-03,LURIN,LIMA ,LIMA,Alumno,2002.0,4,4,SI,NO,Comunicación y Publicidad,Leoncio Prado,PRIV,5.0,3.0,1.0,0,21.0,Entre18y25
48,2023-2,100055822,2023,F,2006-07-18,ATE,LIMA,LIMA,Apoderado,2006.0,6,6,SI,NO,Arquitectura y Urb Ambiental,INNOVASCHOOLS FAISANES CHORRIL,PRIV,5.0,0.0,0.0,0,17.0,MenosDe18
49,2023-2,100058226,2023,F,2006-03-18,COMAS,LIMA,LIMA,Apoderado,2006.0,2,1,NO,NO,Enfermería,UPIG - UNIVERSIDAD PERUANA DE,PRIV,2.0,0.0,0.0,1,17.0,MenosDe18
50,2023-2,100058546,2023,F,1988-08-11,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,1988.0,2,0,NO,NO,Adm. Negocios Internacionales,7074 LA INMACULADA,PRIV,1.0,0.0,0.0,1,35.0,Mayor25
51,2023-2,100061434,2023,F,2000-09-09,LURIGANCHO,LIMA ,LIMA,Alumno,2000.0,0,0,NO,NO,Estomatología,0137 MIGUEL GRAU SEMINARIO,PRIV,5.0,2.0,0.0,0,23.0,Entre18y25
52,2023-2,100062727,2023,M,2002-12-27,LIMA,LIMA ,LIMA,Alumno,2002.0,0,0,NO,NO,Biología Marina,Claretiano - SM,PRIV,5.0,1.0,0.0,0,21.0,Entre18y25
53,2023-2,100064955,2023,F,2007-05-19,COMAS,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Medicina Humana,SAN JUAN - CHUPACA - JUNIN,PRIV,5.0,1.0,0.0,0,16.0,MenosDe18
54,2023-2,100066329,2023,F,2006-08-24,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,1,0,NO,NO,Ingeniería Ambiental,VIRGEN DE LOS DOLORES - LORETO,PRIV,5.0,4.0,1.0,0,17.0,MenosDe18
55,2023-2,100066715,2023,F,2007-08-04,CHORRILLOS,LIMA,LIMA,Apoderado,2007.0,1,1,NO,SI,Medic Veterinaria y Zootecnia,BECA 18,PRIV,2.0,2.0,1.0,1,16.0,MenosDe18
56,2023-2,100066790,2023,F,2007-05-02,ATE,LIMA,LIMA,Apoderado,2007.0,6,10,SI,SI,Medicina Humana,BECA 18,PRIV,,,,1,16.0,MenosDe18
57,2023-2,100066834,2023,F,2007-01-20,COMAS,LIMA,LIMA,Apoderado,2007.0,4,6,SI,NO,Medicina Humana,BECA 18,PRIV,1.0,0.0,0.0,1,16.0,MenosDe18
58,2023-2,100067739,2023,F,2007-10-17,ATE,LIMA,LIMA,Apoderado,2007.0,6,6,SI,SI,Medicina Humana,SAN VICENTE DE PAUL - CHINCHA,PUBL,1.0,1.0,1.0,1,16.0,MenosDe18
59,2023-2,100068185,2023,F,2006-09-06,COMAS,LIMA,LIMA,Apoderado,2006.0,0,0,NO,NO,Medic Veterinaria y Zootecnia,SACO OLIVEROS - BARRANCO,PRIV,5.0,5.0,1.0,0,17.0,MenosDe18
60,2023-2,100069525,2023,F,2002-04-26,COMAS,LIMA ,LIMA,Alumno,2002.0,3,0,NO,NO,Psicología,FAP JOSE ABELARDO QUIÑONES,PRIV,5.0,0.0,0.0,1,21.0,Entre18y25
61,2023-2,100069595,2023,F,2006-06-10,CHORRILLOS,LIMA,LIMA,Apoderado,2006.0,1,1,NO,SI,Medicina Humana,SACO OLIVEROS - CHORRILLOS,PRIV,2.0,1.0,1.0,1,17.0,MenosDe18
62,2023-2,100071228,2023,F,2006-07-04,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2006.0,0,0,NO,NO,Contabilidad y Finanzas,MIGRACION USISE CAT 65,PRIV,,,,0,17.0,MenosDe18
63,2023-2,100071256,2023,F,2006-10-03,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,9,12,SI,SI,Contabilidad Corporativa,Colegio Fuera De Cartera,PRIV,4.0,2.0,1.0,0,17.0,MenosDe18
64,2023-2,100071311,2023,F,2006-09-19,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,5,5,SI,NO,Administracion de Empresas,MIGRACION USISE CAT 35,PRIV,5.0,2.0,0.0,1,17.0,MenosDe18
65,2023-2,100071709,2023,F,2006-08-24,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2006.0,2,2,SI,NO,Ing. Empresarial y de Sistemas,Colegio Fuera De Cartera,PRIV,5.0,1.0,0.0,0,17.0,MenosDe18
66,2023-2,100071855,2023,F,2006-10-23,CHORRILLOS,LIMA,LIMA,Apoderado,2006.0,0,0,NO,NO,Marketing y Administración,Colegio Fuera De Cartera,PRIV,1.0,1.0,1.0,1,17.0,MenosDe18
67,2023-2,100071865,2023,F,2007-09-02,COMAS,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Adm. Negocios Internacionales,MIGRACION USISE CAT 74,PRIV,3.0,2.0,1.0,1,16.0,MenosDe18
68,2023-2,100071896,2023,F,2007-08-20,COMAS,LIMA,LIMA,Apoderado,2007.0,10,20,SI,NO,Administracion de Empresas,MIGRACION USISE CAT 75,PRIV,5.0,0.0,0.0,1,16.0,MenosDe18
69,2023-2,100071958,2023,F,2007-01-17,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2007.0,4,4,SI,SI,Contabilidad y Finanzas,MIGRACION USISE CAT 65,PRIV,3.0,1.0,0.0,0,16.0,MenosDe18
70,2023-2,100071960,2023,M,2006-08-10,CHORRILLOS,LIMA,LIMA,Apoderado,2006.0,4,4,NO,NO,Contabilidad y Finanzas,Prog. de Act en Invest-PAICE,PRIV,1.0,1.0,1.0,1,17.0,MenosDe18
71,2023-2,100072226,2023,M,2006-01-16,COMAS,LIMA,LIMA,Apoderado,2006.0,0,0,NO,NO,Administracion de Empresas,MIGRACION USISE CAT 61,PRIV,5.0,0.0,0.0,0,17.0,MenosDe18
72,2023-2,100072406,2023,M,2002-02-09,CHORRILLOS,LIMA ,LIMA,Alumno,2002.0,4,8,SI,NO,Ingeniería Civil,6090 JOSE OLAYA BALANDRA,PRIV,4.0,2.0,1.0,1,21.0,Entre18y25
73,2023-2,100073148,2023,F,1999-12-22,COMAS,LIMA ,LIMA,Alumno,1999.0,9,9,SI,SI,Medic Veterinaria y Zootecnia,GENES II - COMAS,PRIV,5.0,0.0,0.0,1,24.0,Entre18y25
74,2023-2,100073490,2023,M,2007-11-21,ATE,LIMA,LIMA,Apoderado,2007.0,4,4,SI,NO,Marketing y Administración,ISAIAS ARDILES,PRIV,5.0,1.0,0.0,0,16.0,MenosDe18
75,2023-2,100073659,2023,M,2006-06-20,ATE,LIMA,LIMA,Apoderado,2006.0,0,1,NO,SI,Medic Veterinaria y Zootecnia,MARIA MONTESSORI DE COPACABANA,PRIV,1.0,1.0,1.0,1,17.0,MenosDe18
76,2023-2,100074184,2023,F,2001-05-14,ATE,LIMA ,LIMA,Alumno,2001.0,6,0,NO,NO,Derecho,1260 EL AMAUTA,PRIV,1.0,0.0,0.0,1,22.0,Entre18y25
77,2023-2,100074235,2023,M,2007-04-07,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Administracion de Empresas,USISE,PRIV,2.0,0.0,0.0,1,16.0,MenosDe18
78,2023-2,100074272,2023,M,2006-12-02,CHORRILLOS,LIMA,LIMA,Apoderado,2006.0,3,3,NO,NO,Arquitectura y Urb Ambiental,IE SANTA ANA - SAN FRANCISCO D,PRIV,5.0,1.0,0.0,0,17.0,MenosDe18
79,2023-2,100074341,2023,M,2007-06-11,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2007.0,3,4,SI,SI,Estomatología,Universidad Inca Garcilaso de,PRIV,5.0,1.0,0.0,1,16.0,MenosDe18
80,2023-2,100074544,2023,M,2007-06-02,CHORRILLOS,LIMA,LIMA,Apoderado,2007.0,2,0,NO,NO,Obstetricia,IE 80779 LA INMACULADA,PRIV,5.0,4.0,1.0,0,16.0,MenosDe18
81,2023-2,100074885,2023,F,2002-01-31,BREÑA,LIMA ,LIMA,Alumno,2002.0,0,2,SI,NO,Medicina Humana,Bertolt Brecht - Lima,PRIV,1.0,0.0,0.0,0,21.0,Entre18y25
82,2023-2,100074909,2023,M,2007-12-14,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2007.0,3,3,SI,NO,Administracion de Empresas,VICTOR MORON MUÑOZ - SAN BARTO,PRIV,5.0,1.0,0.0,0,16.0,MenosDe18
83,2023-2,100074969,2023,F,2004-05-12,LIMA,LIMA ,LIMA,Alumno,2004.0,0,2,NO,NO,Farmacia y Bioquímica,ANDRES AVELINO CACERES-CHORRIL,PRIV,4.0,0.0,0.0,0,19.0,Entre18y25
84,2023-2,100075046,2023,M,2007-08-25,ATE,LIMA,LIMA,Apoderado,2007.0,9,6,SI,NO,Medicina Humana,UNIVERSIDAD PRIVADA TELESUP,PRIV,5.0,1.0,0.0,1,16.0,MenosDe18
85,2023-2,100075500,2023,M,2006-05-12,SAN MARTÍN DE PORRES,LIMA,LIMA,Apoderado,2006.0,2,0,NO,NO,Medicina Humana,IE 5026 JOSE MARIA ARGUEDAS,PUBL,5.0,4.0,1.0,0,17.0,MenosDe18
86,2023-2,100075570,2023,M,2007-04-21,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2007.0,3,6,NO,NO,Adm. Negocios Internacionales,USISE,PRIV,5.0,2.0,0.0,1,16.0,MenosDe18
87,2023-2,100075887,2023,M,2007-02-05,COMAS,LIMA,LIMA,Apoderado,2007.0,0,0,NO,NO,Adm. Negocios Internacionales,LUIS FABIO XAMMAR JURADO,PRIV,5.0,1.0,0.0,1,16.0,MenosDe18
88,2023-2,100076263,2023,M,2006-01-25,VILLA EL SALVADOR,LIMA,LIMA,Apoderado,2006.0,21,21,SI,SI,Medic Veterinaria y Zootecnia,Colegio PIU,PRIV,2.0,1.0,1.0,1,17.0,MenosDe18
89,2023-2,100077716,2023,M,2007-08-02,CHORRILLOS,LIMA,LIMA,Apoderado,2007.0,4,4,SI,SI,Adm. Negocios Internacionales,USISE,PUBL,1.0,0.0,0.0,0,16.0,MenosDe18
90,2023-2,100079320,2023,F,2004-06-28,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,2004.0,0,0,NO,NO,Obstetricia,Saco Oliveros - San Martin de,PUBL,5.0,1.0,0.0,0,19.0,Entre18y25
91,2023-2,100081258,2023,M,2004-03-28,CHORRILLOS,LIMA ,LIMA,Madre,2004.0,9,6,SI,NO,Medic Veterinaria y Zootecnia,CRISTO REY - CHORRILLOS,PRIV,3.0,0.0,0.0,1,19.0,Entre18y25
92,2023-2,100082545,2023,F,2001-04-26,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,2001.0,6,3,SI,NO,Ingeniería Ambiental,MATEO PUMACAHUA N°6097,PUBL,5.0,0.0,0.0,0,22.0,Entre18y25
93,2023-2,100082856,2023,M,2001-07-05,CARABAYLLO,LIMA ,LIMA,Alumno,2001.0,15,12,SI,NO,Medic Veterinaria y Zootecnia,JUAN PABLO II  - CARABAYLLO,PRIV,3.0,1.0,0.0,1,22.0,Entre18y25
94,2023-2,100083239,2023,F,1998-04-23,ATE,LIMA ,LIMA,Alumno,1998.0,4,4,SI,NO,Medicina Humana,GONZALEZ VIGIL - HUANTA,PRIV,1.0,1.0,1.0,1,25.0,Mayor25
95,2023-2,100083430,2023,F,1994-06-21,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Padre,1994.0,6,9,SI,SI,Estomatología,SACO OLIVEROS HELICOIDAL I,PRIV,1.0,1.0,1.0,1,29.0,Mayor25
96,2023-2,100083946,2023,F,1992-03-30,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,1992.0,6,6,NO,NO,Medic Veterinaria y Zootecnia,ALFREDO REBAZA ACOSTA - LOS OL,PRIV,1.0,0.0,0.0,1,31.0,Mayor25
97,2023-2,100084156,2023,F,2000-09-04,SAN LUIS,LIMA ,LIMA,Alumno,2000.0,1,0,NO,NO,Medicina Humana,1136 JOHN F. KENNEDY,PRIV,5.0,3.0,1.0,0,23.0,Entre18y25
98,2023-2,100086971,2023,M,2002-10-02,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,2002.0,6,12,SI,NO,Medic Veterinaria y Zootecnia,IE LEONARD EULER II,PRIV,2.0,1.0,1.0,1,21.0,Entre18y25
99,2023-2,100087536,2023,M,2004-04-25,ATE,LIMA ,LIMA,Padre,2004.0,9,9,SI,NO,Derecho,SAN FRANCISCO DE ASIS - ATE,PRIV,5.0,2.0,0.0,0,19.0,Entre18y25
100,2023-2,100087582,2023,F,2004-03-03,LURIN,LIMA ,LIMA,Madre,2004.0,6,6,SI,SI,Medic Veterinaria y Zootecnia,JOSE MARIA ARGUEDAS - LURIN,PRIV,5.0,1.0,0.0,1,19.0,Entre18y25
101,2023-2,100087692,2023,F,2004-01-13,SANTIAGO DE SURCO,LIMA ,LIMA,Madre,2004.0,0,0,NO,NO,Obstetricia,6050 JUANA ALARCO DE DAMMERT,PUBL,5.0,0.0,0.0,0,19.0,Entre18y25
102,2023-2,100087974,2023,F,2003-09-17,LURIN,LIMA ,LIMA,Madre,2003.0,0,2,NO,NO,Medicina Humana,JOHN F. KENEDY-LURIN,PRIV,5.0,2.0,0.0,0,20.0,Entre18y25
103,2023-2,100088957,2023,F,2004-05-06,ATE,LIMA ,LIMA,Madre,2004.0,3,4,SI,SI,Medicina Humana,1229 J.A.P.ANTUNEZ DE MAYOLO,PUBL,1.0,0.0,0.0,1,19.0,Entre18y25
104,2023-2,100089197,2023,F,2003-12-23,ATE,LIMA ,LIMA,Alumno,2003.0,2,0,NO,NO,Psicología,NOBEL INGENIEROS,PRIV,5.0,1.0,0.0,0,20.0,Entre18y25
105,2023-2,100089261,2023,F,2004-09-12,SANTA ANITA,LIMA ,LIMA,Madre,2004.0,4,2,NO,NO,Medic Veterinaria y Zootecnia,PIP FELIX ROMAN - LA MOLINA,PRIV,5.0,2.0,0.0,0,19.0,Entre18y25
106,2023-2,100089870,2023,F,2004-04-09,PICHARI,LA CONVENCIÓN,CUSCO,Padre,2004.0,0,0,NO,NO,Artes Escénicas,IE LA VERDAD,PUBL,5.0,0.0,0.0,1,19.0,Entre18y25
107,2023-2,100090856,2023,F,2003-09-13,COMAS,LIMA ,LIMA,Madre,2003.0,4,2,NO,NO,Arquitectura y Urb Ambiental,HUMANISMO Y TECNOLOGIA - HUMTE,PRIV,5.0,4.0,1.0,0,20.0,Entre18y25
108,2023-2,100091327,2023,F,2003-09-10,ATE,LIMA ,LIMA,Madre,2003.0,0,0,NO,NO,Comunicación y Publicidad,ANDINO,PUBL,5.0,0.0,0.0,0,20.0,Entre18y25
109,2023-2,100092237,2023,F,1998-08-27,EL AGUSTINO,LIMA ,LIMA,Alumno,1998.0,6,3,NO,NO,Medic Veterinaria y Zootecnia,ANTENOR ORREGO ESPINOZA,PRIV,4.0,0.0,0.0,0,25.0,Mayor25
110,2023-2,100093123,2023,F,2003-08-02,VILLA EL SALVADOR,LIMA ,LIMA,Madre,2003.0,0,0,NO,NO,Obstetricia,PERUANO CANADIENSE 7228 VES,PRIV,5.0,0.0,0.0,0,20.0,Entre18y25
111,2023-2,100093607,2023,F,2002-12-22,PUCUSANA,LIMA ,LIMA,Alumno,2002.0,9,6,SI,NO,Obstetricia,IE FRACTAL - MALA/CAÑETE/LIMA,PRIV,4.0,4.0,1.0,1,21.0,Entre18y25
112,2023-2,100094420,2023,M,2002-08-13,CHACLACAYO,LIMA ,LIMA,Alumno,2002.0,12,9,SI,NO,Estomatología,LOS ALAMOS,PRIV,1.0,1.0,1.0,1,21.0,Entre18y25
